J.R. Ward,Lover Avenged,4.36,113934,https://www.goodreads.com/author/show/20248.J_R_Ward
Tijan,Fallen Crest High,4.08,56689,https://www.goodreads.com/author/show/4851199.Tijan
Kody Keplinger,The DUFF: Designated Ugly Fat Friend,3.80,192252,https://www.goodreads.com/author/show/3095919.Kody_Keplinger
Becca Fitzpatrick,Silence,4.08,277255,https://www.goodreads.com/author/show/2876763.Becca_Fitzpatrick
J.K. Rowling,Harry Potter and the Deathly Hallows,4.62,3544486,https://www.goodreads.com/author/show/1077326.J_K_Rowling
Mya Robarts,The V Girl: a Coming of Age Story,eally liked it 4.00,15666,https://www.goodreads.com/author/show/8108373.Mya_Robarts
Nicholas Sparks,A Walk to Remember,4.19,789044,https://www.goodreads.com/author/show/2345.Nicholas_Sparks
Stephenie Meyer,Eclipse,3.72,1736453,https://www.goodreads.com/author/show/941441.Stephenie_Meyer
Ally Condie,Matched,3.63,758563,https://www.goodreads.com/author/show/1304470.Ally_Condie
Sylvia Day,Entwined with You,4.19,204324,https://www.goodreads.com/author/show/19823.Sylvia_Day
Cassandra Clare,City of Glass,4.28,937763,https://www.goodreads.com/author/show/150038.Cassandra_Clare
Tara Sivec,Seduction and Snacks,4.07,52572,https://www.goodreads.com/author/show/6422281.Tara_Sivec
Rick Riordan,The Last Olympian,4.54,924492,https://www.goodreads.com/author/show/15872.Rick_Riordan
E.L. James,Fifty Shades Trilogy,4.11,125226,https://www.goodreads.com/author/show/4725841.E_L_James
Kristen Ashley,Sweet Dreams,4.37,48215,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
Laura Kaye,Hearts in Darkness,3.85,37168,https://www.goodreads.com/author/show/4805272.Laura_Kaye
R.L. Mathewson,Perfection,4.13,65147,https://www.goodreads.com/author/show/4586597.R_L_Mathewson
Stephenie Meyer,New Moon,3.59,1845008,https://www.goodreads.com/author/show/941441.Stephenie_Meyer
Jodi Ellen Malpas,Beneath This Man,4.26,91323,https://www.goodreads.com/author/show/6576110.Jodi_Ellen_Malpas
Richelle Mead,Shadow Kiss,4.34,359009,https://www.goodreads.com/author/show/137902.Richelle_Mead
Emma Chase,Tangled,4.04,116689,https://www.goodreads.com/author/show/6551005.Emma_Chase
Jennifer Probst,The Marriage Bargain,3.79,110371,https://www.goodreads.com/author/show/2965489.Jennifer_Probst
Karina Halle,Sins & Needles,3.94,22556,https://www.goodreads.com/author/show/4785031.Karina_Halle
J.R. Ward,Lover Mine,4.39,111508,https://www.goodreads.com/author/show/20248.J_R_Ward
Becca Fitzpatrick,Crescendo,3.99,316506,https://www.goodreads.com/author/show/2876763.Becca_Fitzpatrick
Cassandra Clare,Clockwork Princess,4.56,430772,https://www.goodreads.com/author/show/150038.Cassandra_Clare
Nyrae Dawn,Charade,3.97,37289,https://www.goodreads.com/author/show/5784345.Nyrae_Dawn
Kristen Ashley,The Gamble,4.25,58560,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
Sarah Dessen,This Lullaby,4.02,177792,https://www.goodreads.com/author/show/2987.Sarah_Dessen
Kristen Proby,Fight with Me,4.24,43744,https://www.goodreads.com/author/show/6550037.Kristen_Proby
Wendy Higgins,Sweet Evil,4.08,76778,https://www.goodreads.com/author/show/4279785.Wendy_Higgins
Fisher Amelie,Vain,4.22,30392,https://www.goodreads.com/author/show/4849669.Fisher_Amelie
Kami Garcia,Beautiful Creatures,3.77,589504,https://www.goodreads.com/author/show/2895706.Kami_Garcia
Richelle Mead,Last Sacrifice,4.37,282326,https://www.goodreads.com/author/show/137902.Richelle_Mead
Elle Kennedy,The Deal,4.25,602848,https://www.goodreads.com/author/show/1935000.Elle_Kennedy
Kristen Ashley,Rock Chick,4.17,57165,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
Cassandra Clare,City of Ashes,4.12,906807,https://www.goodreads.com/author/show/150038.Cassandra_Clare
Jenny Han,We'll Always Have Summer,3.84,379352,https://www.goodreads.com/author/show/151371.Jenny_Han
Kristen Ashley,Law Man,4.30,44926,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
William Goldman,The Princess Bride,4.26,880951,https://www.goodreads.com/author/show/12521.William_Goldman
Rachel Hawkins,Hex Hall,3.92,140671,https://www.goodreads.com/author/show/2261547.Rachel_Hawkins
Kristen Ashley,Lady Luck,4.40,39006,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
Jennifer Echols,Going Too Far,3.92,38370,https://www.goodreads.com/author/show/203238.Jennifer_Echols
Kristen Ashley,Knight,3.92,54522,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
Jessica Wood,Damian,3.65,3818,https://www.goodreads.com/author/show/7072888.Jessica_Wood
Ilona Andrews,Magic Bites,4.06,122376,https://www.goodreads.com/author/show/21748.Ilona_Andrews
Karina Halle,Into the Hollow,4.42,6274,https://www.goodreads.com/author/show/4785031.Karina_Halle
Simone Elkeles,Leaving Paradise,eally liked it 4.00,42860,https://www.goodreads.com/author/show/274533.Simone_Elkeles
Charlaine Harris,Dead to the World,4.12,255989,https://www.goodreads.com/author/show/17061.Charlaine_Harris
Jane Austen,Persuasion,4.15,670038,https://www.goodreads.com/author/show/1265.Jane_Austen
Rainbow Rowell,Eleanor & Park,3.95,1131029,https://www.goodreads.com/author/show/4208569.Rainbow_Rowell
Abbi Glines,Twisted Perfection,4.23,66689,https://www.goodreads.com/author/show/4872191.Abbi_Glines
Sarah Dessen,Along for the Ride,4.04,205008,https://www.goodreads.com/author/show/2987.Sarah_Dessen
Julie Kagawa,The Iron Knight,4.18,84295,https://www.goodreads.com/author/show/2995873.Julie_Kagawa
